Certain Women (2016) ,6.4
Christine (2016) ,6.9
The Conjuring 2 (2016) ,7.4
Criminal (2016) ,6.3
"Crouching Tiger, Hidden Dragon: Sword of Destiny (2016) ",6.1
Dad's Army (2016) ,5.2
Dangal (2016) ,8.6
Dear Eleanor (2016) ,6.0
Demain tout commence (2016) ,7.4
Denial (2016) ,6.6
Dernières nouvelles du cosmos (2016) ,6.8
Dirty 30 (2016) ,5.5
Allegiant (2016) ,5.7
Divines (2016) ,7.4
Don't Breathe (2016) ,7.1
The Edge of Seventeen (2016) ,7.4
El olivo (2016) ,6.9
Electra Woman and Dyna Girl             ,5.4
Elle (2016) ,7.2
Equity (2016) ,5.5
Extremis (2016) ,7.3
Fantastic Beasts and Where to Find Them (2016) ,7.4
Fences (2016) ,7.2
Kingsglaive: Final Fantasy XV (2016) ,6.8
Finding Dory (2016) ,7.3
The Finest Hours (2016) ,6.7
First Girl I Loved (2016) ,5.9
Florence Foster Jenkins (2016) ,6.9
The Forest (2016) ,4.8
The Fundamentals of Caring (2016) ,7.3
Ghostbusters (2016) ,5.3
The Girl on the Train (2016) ,6.5
The Girl with All the Gifts (2016) ,6.7
Grüße aus Fukushima (2016) ,6.8
Grease Live! (2016) ,7.4
Hairspray Live! (2016) ,7.1
Ah-ga-ssi (2016) ,8.1
Hated in the Nation             ,8.6
Hidden Figures (2016) ,7.8
Hounds of Love (2016) ,6.5
House on Willow Street (2016) ,5.1
How to Be Single (2016) ,6.1
Hunt for the Wilderpeople (2016) ,7.9
The Huntsman: Winter's War (2016) ,6.1
Hurricane Bianca (2016) ,5.8
Hush (2016) ,6.6
I Am the Pretty Thing That Lives in the House (2016) ,4.6
"I, Daniel Blake (2016) ",7.9
Ice Fantasy             ,7.3
Independence Day: Resurgence (2016) ,5.2
The Infiltrator (2016) ,7.0
It's Only the End of the World (2016) ,6.9
Jack Reacher: Never Go Back (2016) ,6.1
Jackie (2016) ,6.7
Julieta (2016) ,7.1
Justice League vs. Teen Titans (2016) ,7.0
Keanu (2016) ,6.3
Keeping Up with the Joneses (2016) ,5.9
Kimi no na wa. (2016) ,8.5
Kung Fu Panda 3 (2016) ,7.1
La La Land (2016) ,8.1
La pazza gioia (2016) ,7.3
The Innocents (2016) ,7.3
Let Me Go (2017) ,5.4
The Light Between Oceans (2016) ,7.2
Lights Out (2016) ,6.3
Xiao men shen (2016) ,5.4
Little Sister (2016) ,6.3
